English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Tundra Swan,Cygnus columbianus,,,,,Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Whooper Swan,Cygnus cygnus,,,,,Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,20,,,,,,,
Knob-billed Duck,Sarkidiornis melanotos,Low,Trend Inconclusive,Trend Inconclusive,Large,Knob-billed Duck,Sarkidiornis melanotos,African Comb Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,Appendix II,Appendix II,250,TRUE,TRUE,TRUE,-34,-23,-10.1,-3.2,-1.8,-0.4,895330,895900,896470,1210,5,30,46,11,0,,,Moderate,Uncertain,Moderate Decline,Large
Ruddy Shelduck,Tadorna ferruginea,High,Decline,Rapid Decline,Large,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,500,TRUE,TRUE,TRUE,-58.7,-52.5,-45.5,-5.7,-4.7,-3.7,951540,952060,952580,1458,9,33,46,10,0,,,Low,Uncertain,Uncertain,Large
Common Shelduck,Tadorna tadorna,,,,,Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,FALSE,FALSE,FALSE,,,,,,,,,,95,9,22,27,13,1,,,,,,
Cotton Pygmy Goose,Nettapus coromandelianus,Moderate,Rapid Decline,Decline,Very Large,Cotton Pygmy-Goose,Nettapus coromandelianus,Cotton Pygmy-goose,Nettapus coromandelianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-I,,Appendix II,1000,TRUE,TRUE,TRUE,-62.2,-57.1,-51.1,-4.8,-3.7,-2.6,1050410,1051060,1051710,1337,8,34,46,12,0,,,High,Strong Decline,Strong Decline,Very Large
Mandarin Duck,Aix galericulata,,,,,Mandarin Duck,Aix galericulata,Mandarin Duck,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,17,,,,,,,
Baikal Teal,Sibirionetta formosa,,,,,Baikal Teal,Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,Appendix II,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,7,,,,18,3,,,,,,
Garganey,Spatula querquedula,High,Rapid Decline,Rapid Decline,Large,Garganey,Spatula querquedula,Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-63.6,-57.5,-50.8,-6.8,-5.7,-4.6,646370,646370,646370,1259,9,36,46,12,0,38,Vulnerable,Low,Stable,Uncertain,Large
Northern Shoveler,Spatula clypeata,High,Rapid Decline,Rapid Decline,Very Large,Northern Shoveler,Spatula clypeata,Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-69.9,-64.5,-59.2,-8,-7,-6,1016250,1016770,1017290,1455,10,35,44,11,0,58,Endangered,Low,Stable,Uncertain,Large
Gadwall,Mareca strepera,Moderate,Trend Inconclusive,Decline,Large,Gadwall,Mareca strepera,Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,3000,TRUE,TRUE,TRUE,-38.3,-26.6,-12.9,-4.4,-2.9,-1.3,830080,830640,831200,1145,8,32,45,10,0,13,,Low,Uncertain,Uncertain,Large
Falcated Duck,Mareca falcata,Moderate,Insufficient Data,Insufficient Data,Restricted,Falcated Duck,Mareca falcata,Falcated Duck,Mareca falcata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,,TRUE,FALSE,FALSE,,,,,,,16920,17280,17640,36,25,23,33,14,2,,,,,,
Eurasian Wigeon,Mareca penelope,Moderate,Decline,Decline,Large,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,2500,TRUE,TRUE,TRUE,-68.9,-59.9,-48.5,-6.5,-4.5,-2.5,738730,739320,739910,997,9,30,38,12,0,26,,Low,Uncertain,Uncertain,Large
Indian Spot-billed Duck,Anas poecilorhyncha,Low,Trend Inconclusive,Stable,Very Large,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,8.5,21.9,36.8,-1.9,-0.7,0.6,1531660,1532120,1532580,2248,8,41,60,10,0,,,Low,Stable,Moderate Decline,Very Large
Eastern Spot-billed Duck,Anas zonorhyncha,,,,,Eastern Spot-billed Duck,Anas zonorhyncha,Chinese Spot-billed Duck,Anas zonorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,9,,24,22,17,2,,,,,,
Mallard,Anas platyrhynchos,Low,Trend Inconclusive,Trend Inconclusive,Large,Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-46.6,-33.3,-15.3,-4.1,-2.2,-0.4,253380,253970,254560,365,11,29,39,11,1,,,Low,Uncertain,Uncertain,Moderate
Northern Pintail,Anas acuta,High,Rapid Decline,Rapid Decline,Very Large,Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,20000,TRUE,TRUE,TRUE,-79.1,-75,-70.4,-8.2,-7.1,-5.9,1154540,1155140,1155740,1565,12,34,43,11,0,,,Low,Uncertain,Uncertain,Large
Common Teal,Anas crecca,High,Rapid Decline,Rapid Decline,Large,Green-winged Teal,Anas crecca,Common Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-75.4,-69,-60.4,-7.5,-5.8,-4.1,986760,987330,987900,1346,11,32,41,11,0,42,Vulnerable,Low,Uncertain,Uncertain,Large
Andaman Teal,Anas albogularis,High,Insufficient Data,Trend Inconclusive,Restricted,Andaman Teal,Anas albogularis,Andaman Teal,Anas albogularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Andaman Islands,FALSE,FALSE,FALSE,Wetland,Resident,TRUE,Vulnerable,Schedule-I,,Appendix II,7,TRUE,FALSE,TRUE,,,,2,7.5,13.1,3820,4090,4360,17,18,33,41,7,2,,,High,Data Deficient,Data Deficient,Restricted
Marbled Duck,Marmaronetta angustirostris,High,Insufficient Data,Insufficient Data,Very Restricted,Marbled Teal,Marmaronetta angustirostris,Marbled Teal,Marmaronetta angustirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-I,,Appendix I,50,TRUE,FALSE,FALSE,,,,,,,0,0,0,8,50,,,15,3,,,,,,
Pink-headed Duck,Rhodonessa caryophyllacea,,,,,Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Critically Endangered,Schedule-I,Appendix I,Appendix II,1,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
White-winged Wood Duck,Asarcornis scutulata,High,Insufficient Data,Insufficient Data,Very Restricted,White-winged Duck,Asarcornis scutulata,White-winged Duck,Asarcornis scutulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Endangered,Schedule-I,Appendix I,Appendix II,5,TRUE,FALSE,FALSE,,,,,,,5000,5000,5000,9,44,32,44,11,3,,,High,Data Deficient,Data Deficient,Restricted
Red-crested Pochard,Netta rufina,Low,Decline,Stable,Large,Red-crested Pochard,Netta rufina,Red-crested Pochard,Netta rufina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-52.3,-41.7,-29.1,-1.9,0,2,555740,556290,556840,734,7,28,40,10,0,,,Low,Uncertain,Uncertain,Large
Common Pochard,Aythya ferina,High,Rapid Decline,Decline,Large,Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-I,,Appendix II,,TRUE,TRUE,TRUE,-74.7,-68.4,-60,-6.1,-4.3,-2.5,502780,502780,502780,1022,10,29,40,11,0,,,Moderate,Moderate Decline,Uncertain,Large
Ferruginous Duck,Aythya nyroca,Moderate,Trend Inconclusive,Trend Inconclusive,Large,Ferruginous Duck,Aythya nyroca,Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix I,1000,TRUE,TRUE,TRUE,-58.8,-39.9,-14.9,-5.8,-2.8,0.2,364890,365470,366050,496,9,29,37,11,1,,,Low,Uncertain,Strong Increase,Large
Baer's Pochard,Aythya baeri,High,Insufficient Data,Insufficient Data,Very Restricted,Baer's Pochard,Aythya baeri,Baer's Pochard,Aythya baeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Critically Endangered,Schedule-I,,Appendix I,,TRUE,FALSE,FALSE,,,,,,,1300,1750,2200,9,,15,11,16,4,,,,,,
Tufted Duck,Aythya fuligula,High,Rapid Decline,Decline,Large,Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,3900,TRUE,TRUE,TRUE,-82.4,-78.2,-72.8,-6.5,-4.7,-2.8,454380,454950,455520,647,14,28,39,11,0,,,Low,Uncertain,Uncertain,Large
Greater Scaup,Aythya marila,,,,,Greater Scaup,Aythya marila,Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,10,,12,10,19,3,,,,,,
Long-tailed Duck,Clangula hyemalis,,,,,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Vulnerable,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,15,0,,,,,,
Common Goldeneye,Bucephala clangula,,,,,Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,5,20,22,20,17,3,,,,,,
Smew,Mergellus albellus,,,,,Smew,Mergellus albellus,Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,3,33,39,33,16,4,,,,,,
Common Merganser,Mergus merganser,High,Rapid Decline,Rapid Decline,Moderate,Common Merganser,Mergus merganser,Goosander,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,50,TRUE,TRUE,TRUE,-81.2,-74.4,-65,-9.9,-7.8,-5.7,57300,57790,58280,118,18,27,40,12,1,,,Low,Data Deficient,Uncertain,Moderate
Red-breasted Merganser,Mergus serrator,,,,,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
White-headed Duck,Oxyura leucocephala,,,,,White-headed Duck,Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",No information,No information,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Endangered,Schedule-I,Appendix II,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Nicobar Megapode,Megapodius nicobariensis,High,Insufficient Data,Insufficient Data,Restricted,Nicobar Megapode,Megapodius nicobariensis,Nicobar Scrubfowl,Megapodius nicobariensis,Galliformes,Megapodiidae (Megapodes),24 hour,24 hour,Invertebrate,Nicobar Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Vulnerable,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,1460,1500,1540,12,8,26,58,4,2,,,High,Data Deficient,Data Deficient,Restricted
Hill Partridge,Arborophila torqueola,Low,Stable,Trend Inconclusive,Moderate,Hill Partridge,Arborophila torqueola,Hill Partridge,Arborophila torqueola,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Himalayas,FALSE,FALSE,TRUE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-20.9,3.3,34.9,4.9,9.4,13.9,83850,84210,84570,146,11,35,53,11,1,,,Low,Data Deficient,Uncertain,Moderate
Chestnut-breasted Partridge,Arborophila mandellii,Moderate,Insufficient Data,Insufficient Data,Restricted,Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Eastern Himalayas,FALSE,TRUE,TRUE,Forest,Resident,FALSE,Near Threatened,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,8160,8560,8960,13,15,30,46,11,4,,,High,Data Deficient,Data Deficient,Restricted
Rufous-throated Partridge,Arborophila rufogularis,Low,Insufficient Data,Insufficient Data,Moderate,Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,48780,49370,49960,62,5,26,53,12,2,,,Moderate,Data Deficient,Data Deficient,Moderate
White-cheeked Partridge,Arborophila atrogularis,Moderate,Insufficient Data,Insufficient Data,Restricted,White-cheeked Partridge,Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Omnivore,Eastern Himalayas,FALSE,FALSE,TRUE,Forest,Resident,FALSE,Near Threatened,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,23550,24040,24530,33,21,28,33,12,2,,,Moderate,Data Deficient,Data Deficient,Restricted
Snow Partridge,Lerwa lerwa,,,,,Snow Partridge,Lerwa lerwa,Snow Partridge,Lerwa lerwa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,20,20,29,30,11,2,,,Moderate,Data Deficient,Data Deficient,
Blood Pheasant,Ithaginis cruentus,High,Insufficient Data,Insufficient Data,Very Restricted,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-I,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,6280,6450,6620,11,27,44,55,11,3,,,Moderate,Data Deficient,Data Deficient,Restricted
Western Tragopan,Tragopan melanocephalus,High,Insufficient Data,Insufficient Data,Very Restricted,Western Tragopan,Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Diurnal,Diurnal,Plant & Seed,Western Himalayas,FALSE,TRUE,TRUE,Forest,Resident & Altitudinal Migrant,FALSE,Vulnerable,Schedule-I,Appendix I,,,TRUE,FALSE,FALSE,,,,,,,5010,5380,5750,8,50,25,38,10,3,,,High,Data Deficient,Data Deficient,Very Restricted
